FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.8615,0.864,3.4853,,,,,,
1.1621,2.2699,7.6985,,,,,,
2.3152,3.0629,8.2776,1073.54,0.82,0.86,0.84,0.04,0.2052
1.7317,1.4384,15.3385,,,,,,
2.3296,3.1275,3.4193,,,,,,
,,,,,,,,
6.6031,3.2343,4.3732,,,,,,
1.4208,1.1664,0.0,,,,,,
1.6824,1.6898,2.5168,1082.23,0.91,0.95,0.93,0.04,0.1394
0.4257,1.1537,1.7004,,,,,,
1.1335,0.5191,0.0,,,,,,
,,,,,,,,
10.0,3.2202,2.6258,,,,,,
1.1757,0.2847,0.0,1065.42,0.88,0.95,0.92,0.07,0.1597
1.6326,0.5858,0.0,,,,,,
,,,,,,,,
0.8756,2.2257,4.7222,,,,,,
1.9509,1.7335,4.8498,,,,,,
2.2537,0.577,3.3978,1071.37,0.76,0.81,0.79,0.05,0.1806
3.6788,1.6202,11.4765,,,,,,
1.983,1.6426,3.148,,,,,,
,,,,,,,,
0.0,0.0,1.7736,,,,,,
1.1581,0.8097,3.383,,,,,,
1.9965,3.7275,11.1251,1074.21,0.79,0.86,0.82,0.07,0.1438
2.944,2.3029,3.5152,,,,,,
1.4522,0.8774,0.8924,,,,,,
,,,,,,,,
7.2776,3.2288,2.5891,,,,,,
1.3966,1.6232,0.8116,,,,,,
0.5904,3.0379,3.9052,1081.32,0.91,0.95,0.93,0.04,0.1577
1.2299,0.81,3.5111,,,,,,
1.4215,0.8414,0.0,,,,,,
,,,,,,,,
0.2956,2.2755,4.2152,,,,,,
1.1527,2.2998,4.9735,,,,,,
3.3888,3.0094,10.1668,1073.47,0.82,0.9,0.86,0.08,0.1985
3.6965,2.7666,6.032,,,,,,
2.1354,1.0999,0.0,,,,,,
,,,,,,,,
0.0,0.2916,5.2123,,,,,,
1.6169,2.001,11.0331,,,,,,
5.0893,2.98,8.6696,1076.98,0.88,0.95,0.92,0.07,0.2083
2.6127,2.8828,8.5703,,,,,,
1.9865,1.3909,0.8801,,,,,,
,,,,,,,,
0.0,0.5746,2.4676,,,,,,
0.8122,0.5776,11.7456,,,,,,
3.0692,1.1333,6.963,1072.15,0.74,0.76,0.75,0.02,0.141
2.0208,2.4059,6.2221,,,,,,
0.2927,1.3461,0.8956,,,,,,
,,,,,,,,
1.6133,4.8289,9.2155,,,,,,
4.2131,2.5089,8.7002,,,,,,
2.4011,3.5455,10.9133,1074.22,0.91,1.0,0.96,0.09,0.2956
2.5371,3.2094,11.8173,,,,,,
