FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
,,,,,,,,,,,,
2.6619,0.89,0.8898,,,,,,,,,,
0.2991,0.5904,0.8918,,,,,,,,,,
0.0,0.2984,1.767,1212.49,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.0951
0.0,1.4697,13.868,,,,,,,,,,
,,,,,,,,,,,,
1.1696,2.9139,2.6568,,,,,,,,,,
0.5988,0.8756,1.7448,,,,,,,,,,
1.1749,1.6979,1.7956,1208.31,0.77,0.74,0.76,0.03,1.0,1.0,1.0,0.0,0.1469
1.1858,2.3221,13.1214,,,,,,,,,,
,,,,,,,,,,,,
2.6559,3.5315,7.0805,,,,,,,,,,
1.4842,0.0,1.7884,1185.31,0.74,0.79,0.77,0.05,1.0,1.0,1.0,0.0,0.1169
0.2973,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
1.7859,4.4141,3.5661,,,,,,,,,,
0.8806,0.8863,2.6229,1153.62,0.73,0.79,0.76,0.06,1.0,1.0,1.0,0.0,0.1599
,,,,,,,,,,,,
0.8391,4.0893,8.0148,,,,,,,,,,
2.0556,0.596,3.581,1184.8,0.76,0.74,0.75,0.02,1.0,1.0,1.0,0.0,0.132
0.2983,0.5696,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.5805,1.4667,0.8917,,,,,,,,,,
0.2947,0.0,0.0,,,,,,,,,,
0.5434,0.8785,3.5655,1217.85,0.88,0.81,0.84,0.07,1.0,1.0,1.0,0.0,0.0915
0.0,0.5526,19.243,,,,,,,,,,
,,,,,,,,,,,,
1.1868,2.8926,8.7651,,,,,,,,,,
2.971,1.4828,6.115,1231.29,0.74,0.76,0.75,0.02,2.0,2.0,2.0,0.0,0.1671
0.5935,1.4201,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.5753,2.8681,8.4021,,,,,,,,,,
2.0445,2.4899,5.1413,,,,,,,,,,
1.4461,2.2732,6.8813,1257.29,0.81,0.85,0.83,0.04,2.0,2.0,2.0,0.0,0.2171
2.3133,5.2155,3.488,,,,,,,,,,
,,,,,,,,,,,,
1.753,1.1755,5.3033,,,,,,,,,,
2.8999,2.0522,7.9812,,,,,,,,,,
0.8572,1.4674,13.1166,1253.94,0.81,0.75,0.78,0.06,2.0,2.0,2.0,0.0,0.1806
1.729,1.4485,0.8916,,,,,,,,,,
,,,,,,,,,,,,
0.8647,1.668,6.5053,,,,,,,,,,
0.8063,2.024,11.4007,,,,,,,,,,
