capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
8156,6.0,0.0,1072.58,1.0,1.0,1.0,0.0,0.0475
,,,,,,,,
8752,5.0,0.0,1072.69,1.0,1.0,1.0,0.0,0.0461
,,,,,,,,
8754,8.0,0.0,1072.18,1.0,1.0,1.0,0.0,0.0563
,,,,,,,,
8608,0.0,0.0,1073.56,1.0,1.0,1.0,0.0,0.0287
,,,,,,,,
8757,0.0,0.0,1073.54,1.0,1.0,1.0,0.0,0.0292
,,,,,,,,
9632,3.0,0.0,1072.89,1.0,1.0,1.0,0.0,0.0423
,,,,,,,,
8254,0.0,0.0,1073.62,1.0,1.0,1.0,0.0,0.0275
,,,,,,,,
8920,2.0,0.0,1073.18,1.0,1.0,1.0,0.0,0.0365
,,,,,,,,
8740,0.0,0.0,1073.54,1.0,1.0,1.0,0.0,0.0291
,,,,,,,,
8823,3.0,0.0,1073.02,1.0,1.0,1.0,0.0,0.0396
,,,,,,,,
8649,3.0,1.0,1063.63,1.0,1.0,1.0,0.0,0.2274
,,,,,,,,
8220,8.0,2.0,1061.41,1.0,1.0,1.0,0.0,0.2208
,,,,,,,,
8850,5.0,3.0,1065.46,1.0,1.0,1.0,0.0,0.1909
,,,,,,,,
8464,6.0,1.0,1063.16,1.0,1.0,1.0,0.0,0.2369
,,,,,,,,
8823,0.0,1.0,1064.11,1.0,1.0,1.0,0.0,0.2178
,,,,,,,,
8784,6.0,1.0,1063.1,1.0,1.0,1.0,0.0,0.238
,,,,,,,,
8093,0.0,0.0,1073.65,1.0,1.0,1.0,0.0,0.027
,,,,,,,,
8648,0.0,0.0,1073.56,1.0,1.0,1.0,0.0,0.0288
,,,,,,,,
8249,1.0,0.0,1073.46,1.0,1.0,1.0,0.0,0.0309
,,,,,,,,
8795,3.0,0.0,1073.03,1.0,1.0,1.0,0.0,0.0395
,,,,,,,,
8715,3.0,0.0,1073.04,1.0,1.0,1.0,0.0,0.0392
,,,,,,,,
8565,0.0,0.0,1073.57,1.0,1.0,1.0,0.0,0.0286
,,,,,,,,
8244,0.0,0.0,1073.62,1.0,1.0,1.0,0.0,0.0275
,,,,,,,,
8850,0.0,0.0,1073.53,1.0,1.0,1.0,0.0,0.0295
,,,,,,,,
8611,0.0,1.0,1064.14,1.0,1.0,1.0,0.0,0.2171
,,,,,,,,
8393,0.0,0.0,1073.6,1.0,1.0,1.0,0.0,0.028
,,,,,,,,
