capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
522.0,10.0,0.0,1201.41,0.9,0.86,0.88,0.04,0.2999
7868,5.0,2.0,,,,,,
3040.0,8.0,2.0,,,,,,
,,,,,,,,
2946.0,-2.0,1.0,,,,,,
8995,2.0,0.0,,,,,,
0.0,6.0,1.0,1204.2,0.99,0.99,0.99,0.0,0.27
2969.0,0.0,2.0,,,,,,
,,,,,,,,
5326.0,5.0,4.0,,,,,,
3921.0,2.0,0.0,,,,,,
2929.0,0.0,2.0,1198.6399999999999,0.96,0.97,0.96,0.01,0.2718
8608,1.0,1.0,,,,,,
,,,,,,,,
9237,18.0,2.0,,,,,,
5413.0,3.0,0.0,,,,,,
5466.0,5.0,0.0,1232.42,0.99,1.0,0.99,0.01,0.1687
0.0,6.0,4.0,,,,,,
2906.0,0.0,0.0,,,,,,
,,,,,,,,
2856.0,9.0,4.0,,,,,,
2779.0,9.0,2.0,,,,,,
7919,6.0,1.0,1201.42,0.9,0.86,0.88,0.04,0.2998
-152.0,6.0,1.0,,,,,,
5593.0,3.0,0.0,,,,,,
,,,,,,,,
8581,0.0,1.0,,,,,,
0.0,0.0,1.0,,,,,,
2973.0,0.0,0.0,1224.27,0.96,0.97,0.96,0.01,0.2092
0.0,0.0,1.0,,,,,,
0.0,3.0,0.0,,,,,,
,,,,,,,,
8576,6.0,1.0,,,,,,
0.0,3.0,1.0,,,,,,
2982.0,3.0,0.0,1217.68,0.96,0.98,0.97,0.02,0.2891
2579.0,0.0,2.0,,,,,,
5609.0,3.0,1.0,,,,,,
,,,,,,,,
5294.0,3.0,0.0,,,,,,
2967.0,10.0,4.0,,,,,,
1895.0,11.0,2.0,1215.76,0.96,0.97,0.96,0.01,0.3038
5162.0,8.0,2.0,,,,,,
8402,3.0,2.0,,,,,,
,,,,,,,,
2968.0,16.0,3.0,,,,,,
6178.0,0.0,2.0,,,,,,
0.0,3.0,0.0,1217.45,0.97,0.98,0.97,0.01,0.3017
