capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
,,,,,,,,
7653,3.0,0.0,1055.67,0.9,0.87,0.89,0.03,0.0357
,,,,,,,,
8312,2.0,0.0,1062.72,0.99,0.99,0.99,0.0,0.0345
,,,,,,,,
8522,0.0,0.0,1062.53,0.99,1.0,0.99,0.01,0.0284
,,,,,,,,
7900,0.0,0.0,1060.98,0.96,0.97,0.96,0.01,0.0263
,,,,,,,,
8839,6.0,0.0,1061.46,0.99,1.0,0.99,0.01,0.0498
,,,,,,,,
7924,5.0,1.0,1049.48,0.94,0.95,0.94,0.01,0.2343
,,,,,,,,
7978,1.0,0.0,1060.8,0.96,0.97,0.96,0.01,0.03
,,,,,,,,
10022,0.0,0.0,1062.28,0.99,1.0,0.99,0.01,0.0334
,,,,,,,,
7636,0.0,0.0,1052.42,0.87,0.82,0.84,0.05,0.0255
,,,,,,,,
8565,0.0,0.0,1062.52,0.99,1.0,0.99,0.01,0.0286
,,,,,,,,
8415,0.0,1.0,1052.45,0.98,0.99,0.98,0.01,0.219
,,,,,,,,
7681,3.0,0.0,1058.31,0.92,0.91,0.92,0.01,0.0358
,,,,,,,,
8932,0.0,1.0,1052.36,0.98,0.99,0.98,0.01,0.2207
,,,,,,,,
8648,0.0,0.0,1062.51,0.99,1.0,0.99,0.01,0.0288
,,,,,,,,
8764,3.0,0.0,1061.98,0.99,1.0,0.99,0.01,0.0394
,,,,,,,,
7537,3.0,0.0,1047.69,0.83,0.75,0.79,0.08,0.0353
,,,,,,,,
8474,6.0,1.0,1051.42,0.98,0.99,0.98,0.01,0.2395
,,,,,,,,
8376,0.0,0.0,1063.06,0.99,0.99,0.99,0.0,0.0279
,,,,,,,,
8756,3.0,1.0,1051.82,0.98,0.99,0.98,0.01,0.2303
,,,,,,,,
8615,0.0,0.0,1062.51,0.99,1.0,0.99,0.01,0.0287
,,,,,,,,
10367,3.0,1.0,1052.16,0.99,1.0,0.99,0.01,0.2357
,,,,,,,,
7747,0.0,1.0,1049.81,0.93,0.92,0.93,0.01,0.2168
,,,,,,,,
7937,0.0,1.0,1049.78,0.93,0.92,0.93,0.01,0.2174
,,,,,,,,
8651,0.0,0.0,1062.32,0.99,1.0,0.99,0.01,0.0288
,,,,,,,,
7385,3.0,0.0,1049.81,0.84,0.78,0.81,0.06,0.0348
,,,,,,,,
8546,4.0,0.0,1061.84,0.99,1.0,0.99,0.01,0.0421
,,,,,,,,
8377,0.0,0.0,1063.06,0.99,0.99,0.99,0.0,0.0279
,,,,,,,,
8552,0.0,0.0,1062.52,0.99,1.0,0.99,0.01,0.0285
,,,,,,,,
8706,3.0,0.0,1061.89,0.99,1.0,0.99,0.01,0.0392
,,,,,,,,
8535,10.0,1.0,1051.69,0.99,0.99,0.99,0.0,0.2533
,,,,,,,,
8908,0.0,0.0,1062.46,0.99,1.0,0.99,0.01,0.0297
,,,,,,,,
8945,0.0,0.0,1060.72,0.99,1.0,0.99,0.01,0.0298
,,,,,,,,
8901,3.0,0.0,1061.96,0.99,1.0,0.99,0.01,0.0398
,,,,,,,,
8773,11.0,1.0,1049.5,0.99,0.99,0.99,0.0,0.2575
,,,,,,,,
8657,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.0289
,,,,,,,,
7818,6.0,0.0,1061.03,0.97,0.97,0.97,0.0,0.0464
,,,,,,,,
8750,6.0,0.0,1061.47,0.99,1.0,0.99,0.01,0.0495
,,,,,,,,
8902,0.0,0.0,1062.46,0.99,1.0,0.99,0.01,0.0297
,,,,,,,,
8500,0.0,0.0,1062.54,0.99,1.0,0.99,0.01,0.0283
,,,,,,,,
9191,13.0,1.0,1050.47,0.99,1.0,0.99,0.01,0.2657
,,,,,,,,
8119,0.0,0.0,1062.04,0.98,0.99,0.98,0.01,0.0271
,,,,,,,,
8322,0.0,0.0,1063.07,0.99,0.99,0.99,0.0,0.0277
,,,,,,,,
8113,0.0,3.0,1052.0,0.97,0.98,0.97,0.01,0.174
,,,,,,,,
8700,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.029
,,,,,,,,
9656,6.0,3.0,,,,,,
7234.0,0.0,0.0,1068.22,0.99,1.0,0.99,0.01,0.1118
,,,,,,,,
8801,0.0,0.0,1060.72,0.99,1.0,0.99,0.01,0.0293
,,,,,,,,
8435,0.0,1.0,1052.44,0.98,0.99,0.98,0.01,0.2191
,,,,,,,,
7776,0.0,1.0,1049.81,0.93,0.92,0.93,0.01,0.2169
,,,,,,,,
8458,3.0,0.0,1062.53,0.99,0.99,0.99,0.0,0.0384
,,,,,,,,
7956,0.0,0.0,1060.97,0.96,0.97,0.96,0.01,0.0265
,,,,,,,,
8898,5.0,0.0,1061.62,0.99,1.0,0.99,0.01,0.0466
,,,,,,,,
9735,10.0,2.0,1050.13,0.99,1.0,0.99,0.01,0.2352
,,,,,,,,
7706,0.0,0.0,1055.12,0.9,0.86,0.88,0.04,0.0257
,,,,,,,,
8837,2.0,0.0,1062.14,0.99,1.0,0.99,0.01,0.0362
,,,,,,,,
8653,0.0,0.0,1062.51,0.99,1.0,0.99,0.01,0.0288
,,,,,,,,
8461,12.0,1.0,1050.96,0.99,1.0,0.99,0.01,0.2598
,,,,,,,,
8472,0.0,0.0,1063.04,0.99,0.99,0.99,0.0,0.0282
,,,,,,,,
8132,0.0,0.0,1062.04,0.98,0.99,0.98,0.01,0.0271
,,,,,,,,
8442,6.0,1.0,1051.35,0.98,0.99,0.98,0.01,0.2394
,,,,,,,,
8764,0.0,1.0,1052.39,0.98,0.99,0.98,0.01,0.2202
,,,,,,,,
8337,0.0,0.0,1063.06,0.99,0.99,0.99,0.0,0.0278
,,,,,,,,
8037,10.0,0.0,1061.32,0.99,0.99,0.99,0.0,0.0607
,,,,,,,,
8726,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.0291
,,,,,,,,
