FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.0,0.0,0.823,1214.93,0.88,0.81,0.84,0.07,0.053
0.2678,0.0,0.7127,,,,,,
0.6114,0.4375,19.4322,,,,,,
,,,,,,,,
0.0,0.0,0.4808,,,,,,
0.0,0.0,0.7884,1162.73,0.81,0.74,0.78,0.07,0.0886
0.439,2.6209,15.9078,,,,,,
,,,,,,,,
0.0,-0.0335,1.5172,,,,,,
-0.3333,0.2304,19.7348,1151.32,0.85,0.81,0.83,0.04,0.1065
,,,,,,,,
0.0,0.071,0.9466,,,,,,
0.0,0.0,0.6915,,,,,,
0.2215,0.2407,0.0,1185.55,0.81,0.74,0.78,0.07,0.0558
-0.3688,0.1401,18.6252,,,,,,
,,,,,,,,
0.0,-0.2798,0.765,,,,,,
-0.1371,2.8258,15.6276,1138.84,0.76,0.74,0.75,0.02,0.1318
,,,,,,,,
0.1719,0.0,0.0,,,,,,
0.0,0.0,0.7917,,,,,,
0.0,0.0,1.6198,1181.06,0.72,0.78,0.75,0.06,0.0671
1.4457,4.2206,5.3266,,,,,,
,,,,,,,,
1.4287,0.8711,0.8751,,,,,,
0.2644,0.0,0.0,1177.01,0.91,0.85,0.88,0.06,0.1038
0.0,1.16,20.3339,,,,,,
,,,,,,,,
1.1088,0.5354,0.8859,,,,,,
0.8533,0.2871,0.0,1169.78,0.91,0.82,0.86,0.09,0.1208
0.8519,1.7964,19.3315,,,,,,
,,,,,,,,
0.0,0.2806,0.8764,,,,,,
0.2626,0.2742,1.1848,1167.0,0.77,0.78,0.78,0.01,0.1011
0.1963,3.6415,13.1851,,,,,,
,,,,,,,,
0.8381,0.877,0.8321,,,,,,
0.2909,0.5753,0.0,,,,,,
0.0,0.2787,0.8897,1182.93,0.79,0.74,0.77,0.05,0.0897
0.5754,2.3469,15.4479,,,,,,
,,,,,,,,
0.1896,1.128,0.5746,,,,,,
0.4854,0.5431,0.8526,,,,,,
1.1102,0.8749,0.3699,1211.88,0.91,0.82,0.86,0.09,0.1002
0.2779,1.6967,1.7523,,,,,,
0.2975,2.2211,19.1568,,,,,,
,,,,,,,,
0.0,0.0,1.7412,,,,,,
0.0,0.0,0.7152,,,,,,
0.0,0.0,0.5201,1188.84,0.87,0.78,0.82,0.09,0.0622
0.1617,1.1373,19.0361,,,,,,
,,,,,,,,
0.0,0.5473,2.3459,,,,,,
0.0,0.0,0.8799,,,,,,
0.587,0.2651,0.0,1210.12,0.78,0.79,0.79,0.01,0.0831
1.0751,0.2952,0.9645,,,,,,
1.4445,3.3513,12.1826,,,,,,
,,,,,,,,
0.0,0.1589,2.1908,,,,,,
0.5008,0.0,0.8341,,,,,,
0.0,0.0,1.5479,1216.96,0.91,0.83,0.87,0.08,0.0704
0.2595,0.0,0.0,,,,,,
1.2835,1.6544,19.4467,,,,,,
,,,,,,,,
0.2865,1.0929,1.7373,,,,,,
0.2806,0.5765,0.0,,,,,,
0.1986,0.0,0.8783,1189.24,0.87,0.79,0.83,0.08,0.0843
0.0,1.7332,18.7613,,,,,,
,,,,,,,,
0.2961,0.5767,0.8296,,,,,,
0.0,0.7589,1.7446,,,,,,
0.7731,0.0,0.0,1203.56,0.78,0.74,0.76,0.04,0.076
0.2986,0.0,1.001,,,,,,
0.878,2.328,14.9588,,,,,,
,,,,,,,,
0.0,1.7543,1.7057,,,,,,
0.5616,0.0,0.7963,,,,,,
0.871,0.8558,1.6702,1212.08,0.91,0.82,0.86,0.09,0.098
0.2968,1.1033,0.8883,,,,,,
0.5835,2.0206,18.6943,,,,,,
,,,,,,,,
0.0,0.968,0.8597,,,,,,
2.7423,2.8687,9.0588,,,,,,
2.6968,1.3929,3.9976,1181.3600000000001,0.76,0.75,0.76,0.01,0.1304
0.5691,0.297,0.0,,,,,,
,,,,,,,,
0.0,0.0,2.4863,,,,,,
0.2951,0.2845,0.0,,,,,,
0.4757,0.5791,0.0,1195.78,0.91,0.83,0.87,0.08,0.0836
0.8568,1.4845,19.5672,,,,,,
,,,,,,,,
0.0,0.4484,2.5415,,,,,,
0.8493,0.8602,1.6589,,,,,,
0.0,0.2841,1.7674,1219.96,0.92,0.85,0.89,0.07,0.0804
0.8464,0.2596,1.6962,,,,,,
0.2951,0.2996,20.3852,,,,,,
,,,,,,,,
0.184,0.0,3.3702,,,,,,
1.1437,1.7601,3.1944,,,,,,
