capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
8144,13.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
9999,0.0,0.0,,,,,,,,,,
4389.0,0.0,0.0,1131.13,0.96,0.97,0.96,0.01,1.0,1.0,1.0,0.0,0.024
,,,,,,,,,,,,
706.0,13.0,5.0,,,,,,,,,,
5792.0,4.0,0.0,,,,,,,,,,
2783.0,1.0,1.0,1152.3,0.87,0.89,0.88,0.02,1.0,1.0,1.0,0.0,0.152
7962,4.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
2543.0,12.0,2.0,,,,,,,,,,
7952,8.0,2.0,1129.85,0.89,0.92,0.91,0.03,1.0,1.0,1.0,0.0,0.2028
3512.0,0.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
6424.0,11.0,3.0,,,,,,,,,,
6675.0,4.0,5.0,1137.1399999999999,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.1728
9688,13.0,5.0,,,,,,,,,,
,,,,,,,,,,,,
5293.0,2.0,4.0,,,,,,,,,,
5793.0,15.0,5.0,,,,,,,,,,
8231,13.0,3.0,1154.28,0.93,0.96,0.95,0.03,1.0,1.0,1.0,0.0,0.1793
2330.0,16.0,4.0,,,,,,,,,,
,,,,,,,,,,,,
695.0,0.0,2.0,,,,,,,,,,
2590.0,8.0,0.0,1134.76,0.91,0.95,0.93,0.04,1.0,1.0,1.0,0.0,0.1384
8199,6.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
2548.0,7.0,2.0,,,,,,,,,,
0.0,2.0,9.0,1138.32,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.1683
8546,14.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
1194.0,3.0,5.0,,,,,,,,,,
6908.0,10.0,6.0,,,,,,,,,,
5710.0,15.0,0.0,1158.34,0.98,1.0,0.99,0.02,1.0,1.0,1.0,0.0,0.1521
9100,19.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
2424.0,3.0,0.0,,,,,,,,,,
9921,8.0,1.0,1129.52,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.1326
,,,,,,,,,,,,
8575,1.0,0.0,1118.93,0.96,0.97,0.96,0.01,1.0,1.0,1.0,0.0,0.032
,,,,,,,,,,,,
0.0,3.0,0.0,,,,,,,,,,
7744,3.0,0.0,1141.04,0.89,0.91,0.9,0.02,1.0,1.0,1.0,0.0,0.0186
2854.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8254,12.0,1.0,,,,,,,,,,
5304.0,28.0,9.0,1119.93,0.92,0.96,0.94,0.04,1.0,1.0,1.0,0.0,0.2028
,,,,,,,,,,,,
2281.0,5.0,0.0,,,,,,,,,,
2791.0,-1.0,3.0,1127.27,0.75,0.75,0.75,0.0,1.0,1.0,1.0,0.0,0.1398
7609.0,8,1.0,,,,,,,,,,
,,,,,,,,,,,,
4327.0,7.0,1.0,,,,,,,,,,
4922.0,7.0,3.0,,,,,,,,,,
1543.0,3.0,6.0,1145.84,0.78,0.78,0.78,0.0,1.0,1.0,1.0,0.0,0.1911
7587,20.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
2213.0,3.0,1.0,,,,,,,,,,
1366.0,11.0,4.0,1137.92,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1786
8500,17.0,13.0,,,,,,,,,,
,,,,,,,,,,,,
2561.0,3.0,0.0,,,,,,,,,,
8279,4.0,1.0,1131.04,0.92,0.96,0.94,0.04,1.0,1.0,1.0,0.0,0.1233
,,,,,,,,,,,,
5043.0,0.0,1.0,,,,,,,,,,
4877.0,0.0,2.0,1132.22,0.89,0.94,0.92,0.05,1.0,1.0,1.0,0.0,0.1902
7998,11.0,4.0,,,,,,,,,,
,,,,,,,,,,,,
5286.0,3.0,1.0,,,,,,,,,,
5386.0,6.0,4.0,,,,,,,,,,
8204,0.0,5.0,1152.1399999999999,0.89,0.93,0.91,0.04,1.0,1.0,1.0,0.0,0.1682
5745.0,8.0,4.0,,,,,,,,,,
,,,,,,,,,,,,
2938.0,2.0,1.0,,,,,,,,,,
7678,10.0,4.0,1117.52,0.81,0.85,0.83,0.04,1.0,1.0,1.0,0.0,0.1925
,,,,,,,,,,,,
2499.0,0.0,0.0,,,,,,,,,,
7504.0,0.0,2.0,1147.15,0.98,1.0,0.99,0.02,1.0,1.0,1.0,0.0,0.126
8578,20.0,6.0,,,,,,,,,,
,,,,,,,,,,,,
2766.0,0.0,0.0,,,,,,,,,,
2669.0,5.0,3.0,1144.77,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.1307
8720,6.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
0.0,2.0,0.0,,,,,,,,,,
0.0,4.0,0.0,1142.03,0.99,1.0,0.99,0.01,1.0,1.0,1.0,0.0,0.089
8582,40.0,6.0,,,,,,,,,,
,,,,,,,,,,,,
2972.0,0.0,1.0,,,,,,,,,,
853.0,1.0,0.0,1138.53,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.1269
8578,8.0,4.0,,,,,,,,,,
,,,,,,,,,,,,
8673,0.0,0.0,1120.54,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.0289
,,,,,,,,,,,,
3865.0,1.0,2.0,,,,,,,,,,
0.0,6.0,0.0,,,,,,,,,,
6171.0,6.0,5.0,1159.7,0.98,1.0,0.99,0.02,1.0,1.0,1.0,0.0,0.125
10384,16.0,7.0,,,,,,,,,,
,,,,,,,,,,,,
0.0,12.0,0.0,,,,,,,,,,
0.0,2.0,0.0,1146.66,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.0929
10319,3.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8761,4.0,0.0,,,,,,,,,,
5212.0,13.0,9.0,1130.17,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.0713
,,,,,,,,,,,,
2861.0,0.0,0.0,,,,,,,,,,
8677,3.0,1.0,1144.46,0.94,0.97,0.95,0.03,1.0,1.0,1.0,0.0,0.1259
2977.0,15.0,13.0,,,,,,,,,,
,,,,,,,,,,,,
2365.0,3.0,2.0,,,,,,,,,,
973.0,3.0,0.0,,,,,,,,,,
3416.0,9.0,1.0,1159.02,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1695
8629,23.0,16.0,,,,,,,,,,
,,,,,,,,,,,,
2310.0,0.0,0.0,,,,,,,,,,
2556.0,0.0,0.0,1149.38,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.0593
8642,9.0,5.0,,,,,,,,,,
,,,,,,,,,,,,
2482.0,5.0,2.0,,,,,,,,,,
8335,7.0,3.0,1133.85,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.2218
4921.0,35.0,16.0,,,,,,,,,,
,,,,,,,,,,,,
2589.0,0.0,1.0,,,,,,,,,,
2837.0,5.0,1.0,1143.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.232
8816,33.0,16.0,,,,,,,,,,
,,,,,,,,,,,,
2432.0,1.0,3.0,,,,,,,,,,
2323.0,2.0,4.0,1137.99,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1907
8947,31.0,16.0,,,,,,,,,,
,,,,,,,,,,,,
2600.0,4.0,1.0,,,,,,,,,,
8489,11.0,2.0,,,,,,,,,,
5531.0,8.0,1.0,1154.97,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.1976
2720.0,17.0,8.0,,,,,,,,,,
,,,,,,,,,,,,
8583,24.0,16.0,1114.69,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2564
,,,,,,,,,,,,
4377.0,0.0,0.0,,,,,,,,,,
7535,48.0,16.0,1130.55,0.99,1.0,0.99,0.01,1.0,1.0,1.0,0.0,0.1731
,,,,,,,,,,,,
1899.0,0.0,1.0,,,,,,,,,,
7382,11.0,10.0,1113.51,0.78,0.75,0.77,0.03,1.0,1.0,1.0,0.0,0.1473
,,,,,,,,,,,,
2756.0,0.0,0.0,,,,,,,,,,
7995,0.0,3.0,,,,,,,,,,
5878.0,6.0,3.0,1150.65,0.86,0.85,0.85,0.01,1.0,1.0,1.0,0.0,0.162
5574.0,36.0,16.0,,,,,,,,,,
,,,,,,,,,,,,
7673,2.0,0.0,,,,,,,,,,
3526.0,3.0,2.0,1129.97,0.83,0.82,0.82,0.01,1.0,1.0,1.0,0.0,0.1432
2964.0,29.0,14.0,,,,,,,,,,
,,,,,,,,,,,,
3465.0,5.0,5.0,,,,,,,,,,
2227.0,5.0,1.0,,,,,,,,,,
1958.0,7.0,3.0,1156.05,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.187
8681,18.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
2163.0,2.0,0.0,,,,,,,,,,
5353.0,6.0,5.0,1140.49,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1368
8616,37.0,14.0,,,,,,,,,,
,,,,,,,,,,,,
4506.0,0.0,0.0,,,,,,,,,,
8537,15.0,13.0,1134.81,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0879
,,,,,,,,,,,,
2509.0,4.0,2.0,,,,,,,,,,
3984.0,0.0,3.0,1139.8899999999999,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1705
8722,11.0,14.0,,,,,,,,,,
,,,,,,,,,,,,
2998.0,0.0,1.0,,,,,,,,,,
8525,15.0,6.0,1127.67,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.1798
,,,,,,,,,,,,
0.0,3.0,0.0,,,,,,,,,,
8789,3.0,4.0,1133.96,0.94,0.97,0.95,0.03,1.0,1.0,1.0,0.0,0.0858
,,,,,,,,,,,,
256.0,5.0,1.0,,,,,,,,,,
819.0,7.0,6.0,1137.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1901
8396,24.0,16.0,,,,,,,,,,
,,,,,,,,,,,,
5760.0,6.0,2.0,,,,,,,,,,
5626.0,2.0,5.0,1144.3,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.172
