FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
2.646,2.8318,4.753,1195.71,0.72,0.78,0.75,0.06,0.1266
0.5894,0.0855,0.6878,,,,,,
,,,,,,,,
0.0,1.4803,7.943,,,,,,
3.5139,2.0566,8.9068,,,,,,
2.6224,2.0651,1.1365,1193.6,0.8,0.72,0.76,0.08,0.1467
0.175,0.2973,0.752,,,,,,
,,,,,,,,
0.0,0.2973,0.8727,,,,,,
2.1883,1.1805,7.0173,,,,,,
0.5808,1.7441,2.7776,1197.18,0.84,0.75,0.79,0.09,0.1469
1.7566,2.6459,13.2195,,,,,,
,,,,,,,,
0.0,1.4825,6.0122,,,,,,
3.8161,1.4803,5.3622,,,,,,
1.3732,2.0533,7.6093,1200.47,0.8,0.88,0.84,0.08,0.2037
3.2568,3.0828,8.289,,,,,,
,,,,,,,,
0.0,1.1462,4.4211,,,,,,
2.2938,1.4264,3.522,,,,,,
2.0254,1.7204,5.148,1191.8899999999999,0.72,0.81,0.77,0.09,0.1723
2.356,4.5714,5.3703,,,,,,
,,,,,,,,
0.0,2.081,4.4413,,,,,,
3.5406,3.5224,8.0035,,,,,,
1.7867,1.4878,4.3395,1205.46,0.8,0.88,0.84,0.08,0.1482
0.4289,0.0,0.646,,,,,,
,,,,,,,,
0.0,1.792,7.9152,,,,,,
2.0518,3.233,9.7514,,,,,,
2.0178,0.7994,2.5598,1200.54,0.76,0.75,0.76,0.01,0.1395
0.2959,0.4316,0.0,,,,,,
,,,,,,,,
0.0,1.1631,3.4583,,,,,,
2.9513,4.0275,7.8964,,,,,,
1.1757,1.4778,0.0,1208.3,0.8,0.84,0.82,0.04,0.1233
0.5401,0.2989,0.2393,,,,,,
,,,,,,,,
0.0,1.4627,7.9056,,,,,,
2.5772,2.9406,9.7336,,,,,,
1.725,0.8933,2.2124,1204.41,0.8,0.78,0.79,0.02,0.1366
0.5759,0.2095,0.0,,,,,,
,,,,,,,,
4.1454,2.36,7.9278,,,,,,
0.5975,1.461,1.7449,1174.5,0.8,0.75,0.78,0.05,0.1428
0.5693,0.8848,0.8178,,,,,,
,,,,,,,,
0.0,1.1757,7.0115,,,,,,
2.3237,4.4998,4.4277,,,,,,
1.7195,2.0653,0.0,1195.45,0.72,0.81,0.77,0.09,0.1328
0.976,0.1598,0.0,,,,,,
,,,,,,,,
0.0,0.5912,3.4242,,,,,,
0.4285,0.8908,9.7945,,,,,,
3.2277,1.7063,8.8305,1194.15,0.8,0.72,0.76,0.08,0.1406
2.138,1.1281,-0.1672,,,,,,
,,,,,,,,
0.0,0.5874,6.6614,,,,,,
2.6064,2.5322,3.4323,,,,,,
2.3283,2.3324,4.2887,1191.04,0.72,0.78,0.75,0.06,0.1784
