capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
7092.0,4.0,0.0,1096.46,0.94,0.94,0.94,0.0,0.1048
2231.0,2.0,0.0,,,,,,
865.0,0.0,0.0,,,,,,
,,,,,,,,
991.0,6.0,0.0,,,,,,
8175,8.0,2.0,,,,,,
0.0,1.0,0.0,1086.04,0.94,0.94,0.94,0.0,0.1133
2980.0,0.0,1.0,,,,,,
,,,,,,,,
8599,3.0,1.0,,,,,,
0.0,2.0,0.0,1078.17,0.96,0.97,0.96,0.01,0.0826
0.0,3.0,0.0,,,,,,
,,,,,,,,
2996.0,10.0,3.0,,,,,,
8522,14.0,1.0,,,,,,
5024.0,11.0,3.0,1093.39,0.98,0.98,0.98,0.0,0.2102
3201.0,3.0,2.0,,,,,,
2045.0,0.0,1.0,,,,,,
,,,,,,,,
8522,15.0,4.0,,,,,,
2928.0,3.0,1.0,1076.68,0.98,0.98,0.98,0.0,0.1445
4852.0,0.0,0.0,,,,,,
,,,,,,,,
8503,0.0,1.0,,,,,,
0.0,3.0,0.0,1078.82,0.96,0.96,0.96,0.0,0.0797
2551.0,0.0,0.0,,,,,,
,,,,,,,,
6837.0,15.0,6.0,,,,,,
8804,7.0,1.0,,,,,,
2786.0,2.0,0.0,1097.02,0.97,0.97,0.97,0.0,0.1266
1978.0,3.0,1.0,,,,,,
0.0,1.0,0.0,,,,,,
,,,,,,,,
8872,3.0,2.0,,,,,,
2360.0,5.0,2.0,1072.22,0.96,0.97,0.96,0.01,0.2016
2535.0,0.0,1.0,,,,,,
,,,,,,,,
7969,6.0,0.0,,,,,,
5401.0,0.0,0.0,1069.53,0.93,0.93,0.93,0.0,0.0325
,,,,,,,,
8667,3.0,0.0,,,,,,
0.0,2.0,0.0,1072.76,0.98,0.98,0.98,0.0,0.0229
,,,,,,,,
8393,13.0,6.0,,,,,,
1866.0,3.0,1.0,,,,,,
7330.0,0.0,1.0,1093.87,0.98,0.98,0.98,0.0,0.2006
7140.0,3.0,2.0,,,,,,
5330.0,2.0,1.0,,,,,,
,,,,,,,,
8667,1.0,3.0,,,,,,
2709.0,0.0,1.0,1063.27,0.96,0.96,0.96,0.0,0.1906
,,,,,,,,
9102,19.0,7.0,,,,,,
1788.0,6.0,0.0,,,,,,
1123.0,2.0,1.0,1088.98,0.99,1.0,0.99,0.01,0.0995
2149.0,0.0,0.0,,,,,,
,,,,,,,,
8846,0.0,2.0,,,,,,
0.0,2.0,0.0,1067.64,0.96,0.96,0.96,0.0,0.1031
,,,,,,,,
7704,0.0,0.0,1050.86,0.87,0.8,0.83,0.07,0.0257
,,,,,,,,
8780,11.0,7.0,,,,,,
4829.0,0.0,3.0,,,,,,
