FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
2.0695,1.1769,13.0827,1141.75,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.29
10.0,10.0,30.0,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,1.7156,,,,,,,,,,
0.578,2.5596,3.375,,,,,,,,,,
2.8497,0.5887,11.5334,1125.54,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.2392
5.6473,10.0,30.0,,,,,,,,,,
,,,,,,,,,,,,
2.378,3.8517,4.2593,,,,,,,,,,
-0.016,0.2328,1.1324,1083.62,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1293
2.1164,0.1421,-5.5627,,,,,,,,,,
,,,,,,,,,,,,
0.5511,2.0193,2.9749,,,,,,,,,,
1.9229,2.4273,2.9025,,,,,,,,,,
0.8923,-0.0912,2.5907,1096.93,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1464
2.2882,4.3738,3.107,,,,,,,,,,
,,,,,,,,,,,,
0.0,1.0843,-0.3728,,,,,,,,,,
0.8,0.8703,3.772,,,,,,,,,,
0.5705,0.0902,2.0627,1100.02,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.0946
0.3618,4.7337,4.312,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,2.6669,,,,,,,,,,
0.5909,2.4343,5.006,,,,,,,,,,
0.3978,1.1614,2.2976,1107.76,1.0,0.95,0.97,0.05,1.0,1.0,1.0,0.0,0.1399
0.5979,3.5673,23.2061,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,8.787,,,,,,,,,,
2.0986,2.2386,4.3644,,,,,,,,,,
0.2108,0.7944,2.7545,1120.2,0.89,0.84,0.86,0.05,2.0,2.0,2.0,0.0,0.1559
1.2267,2.3823,19.6578,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.5947,5.8856,,,,,,,,,,
2.3211,3.0565,5.7403,,,,,,,,,,
2.9784,1.8703,4.4506,1135.85,0.89,0.84,0.86,0.05,3.0,3.0,3.0,0.0,0.218
3.2744,2.9283,16.9571,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.5959,1.6562,,,,,,,,,,
3.7772,2.2537,3.3382,1087.04,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1041
1.0466,0.264,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.2705,2.2521,4.9336,,,,,,,,,,
3.0496,2.9594,2.6084,1084.52,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1547
1.4005,1.3794,1.7499,,,,,,,,,,
,,,,,,,,,,,,
1.1062,2.5459,10.6126,,,,,,,,,,
1.7108,2.3408,3.8455,,,,,,,,,,
2.0101,1.4095,5.0251,1095.64,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1723
0.2948,1.9157,4.8145,,,,,,,,,,
,,,,,,,,,,,,
0.279,2.2994,10.2147,,,,,,,,,,
1.9681,1.9039,3.6984,,,,,,,,,,
0.5839,1.5134,1.9123,1098.64,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1123
0.1913,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
1.4163,3.7016,15.4002,,,,,,,,,,
2.9869,1.9866,4.841,,,,,,,,,,
1.3984,0.4875,1.7257,1120.42,0.89,0.84,0.86,0.05,2.0,2.0,2.0,0.0,0.1515
0.2973,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
1.8677,2.7106,8.2924,,,,,,,,,,
1.2855,1.3455,1.6578,,,,,,,,,,
1.5678,2.1442,4.1294,1117.42,0.93,0.84,0.89,0.09,2.0,2.0,2.0,0.0,0.2016
0.1855,5.1708,16.587,,,,,,,,,,
,,,,,,,,,,,,
0.0,1.6163,5.3253,,,,,,,,,,
1.287,2.1831,4.9747,,,,,,,,,,
2.0501,0.6054,2.0461,1098.78,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1594
0.8051,3.5778,11.4518,,,,,,,,,,
,,,,,,,,,,,,
0.2814,1.69,6.4579,,,,,,,,,,
3.237,1.7856,6.3211,,,,,,,,,,
1.9594,0.5929,2.9391,1116.65,0.85,0.79,0.82,0.06,2.0,2.0,2.0,0.0,0.1769
1.3743,1.8624,11.651,,,,,,,,,,
,,,,,,,,,,,,
0.0184,1.1725,7.0772,,,,,,,,,,
0.8971,0.8197,4.1335,,,,,,,,,,
0.1014,0.2195,4.2009,1097.88,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1275
0.1041,3.6072,12.2289,,,,,,,,,,
,,,,,,,,,,,,
0.2931,1.8741,2.0752,,,,,,,,,,
1.1709,2.1782,3.4627,,,,,,,,,,
1.6841,1.0049,3.0859,1100.33,0.89,0.84,0.86,0.05,1.0,1.0,1.0,0.0,0.1783
2.9146,3.5932,16.6748,,,,,,,,,,
,,,,,,,,,,,,
-0.1595,2.3693,4.3156,,,,,,,,,,
0.7477,0.6388,3.0545,,,,,,,,,,
0.8637,1.2163,5.4377,1100.58,0.89,0.84,0.86,0.05,1.0,1.0,1.0,0.0,0.1734
2.6895,3.7154,18.7578,,,,,,,,,,
,,,,,,,,,,,,
0.2427,0.5381,4.8211,,,,,,,,,,
0.9735,1.0134,3.7015,,,,,,,,,,
-0.5747,0.0037,4.1534,1101.88,0.89,0.84,0.86,0.05,1.0,1.0,1.0,0.0,0.1473
2.2691,3.5817,18.1897,,,,,,,,,,
,,,,,,,,,,,,
0.4115,0.8714,6.0685,,,,,,,,,,
0.6631,0.9762,3.3124,,,,,,,,,,
0.5317,0.8557,3.8605,1100.59,0.93,0.84,0.89,0.09,1.0,1.0,1.0,0.0,0.1632
1.5824,5.705,17.304,,,,,,,,,,
,,,,,,,,,,,,
0.2584,1.6093,0.8678,,,,,,,,,,
0.8859,1.4057,4.1322,,,,,,,,,,
0.8676,1.12,3.6167,1107.26,1.0,0.95,0.97,0.05,1.0,1.0,1.0,0.0,0.1498
0.7812,3.3613,22.9275,,,,,,,,,,
,,,,,,,,,,,,
0.4038,0.9818,1.6127,,,,,,,,,,
0.6926,1.7974,5.3332,,,,,,,,,,
0.0,1.4023,1.758,1101.5,0.93,0.84,0.89,0.09,1.0,1.0,1.0,0.0,0.1449
0.7331,4.3472,19.1882,,,,,,,,,,
,,,,,,,,,,,,
0.4479,1.4621,4.9447,,,,,,,,,,
0.8979,0.992,3.5883,,,,,,,,,,
0.1437,0.5491,3.2127,1104.64,0.96,0.89,0.93,0.07,1.0,1.0,1.0,0.0,0.1422
0.6474,3.1948,22.0612,,,,,,,,,,
,,,,,,,,,,,,
0.0,1.2757,4.2315,,,,,,,,,,
0.4602,1.3228,2.8705,,,,,,,,,,
0.7472,0.6002,1.7939,1101.61,0.93,0.84,0.89,0.09,1.0,1.0,1.0,0.0,0.1428
1.4186,4.2278,18.2765,,,,,,,,,,
,,,,,,,,,,,,
1.864,1.7918,0.7786,,,,,,,,,,
0.4385,0.0253,2.3184,,,,,,,,,,
1.0044,1.1094,4.001,1098.5,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1251
3.1965,1.6342,5.3937,,,,,,,,,,
,,,,,,,,,,,,
0.9053,1.1996,0.7912,,,,,,,,,,
1.1654,1.3011,5.0234,,,,,,,,,,
1.1678,1.1467,1.7828,1107.3,1.0,0.95,0.97,0.05,1.0,1.0,1.0,0.0,0.149
0.8632,2.6378,22.7178,,,,,,,,,,
,,,,,,,,,,,,
0.0544,1.7694,2.7405,,,,,,,,,,
1.3584,0.789,3.5833,,,,,,,,,,
1.8061,1.4766,3.823,1100.46,0.93,0.84,0.89,0.09,1.0,1.0,1.0,0.0,0.1659
